Fiscal Year,Fiscal Period,Month,Information Date,Branch,Service,SSC Client,Metric Name,Value,Metric Type
2018-2019,4,July,7/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,11840,As at
2018-2019,4,July,7/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2018-2019,4,July,7/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
2018-2019,4,July,7/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),911.28,Non Cumulative
2018-2019,4,July,7/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13154,As at
2018-2019,5,August,8/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2018-2019,5,August,8/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
2018-2019,5,August,8/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),307,Non Cumulative
2018-2019,5,August,8/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
2018-2019,5,August,8/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2018-2019,5,August,8/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),1250,Non Cumulative
2018-2019,5,August,8/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),153.95,Non Cumulative
2018-2019,5,August,8/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,11840,As at
2018-2019,5,August,8/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2018-2019,5,August,8/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
2018-2019,5,August,8/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),939.77,Non Cumulative
2018-2019,5,August,8/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13154,As at
2018-2019,6,September,9/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2018-2019,6,September,9/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
2018-2019,6,September,9/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),307,Non Cumulative
2018-2019,6,September,9/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
2018-2019,6,September,9/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2018-2019,6,September,9/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),2500,Non Cumulative
2018-2019,6,September,9/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),157.39,Non Cumulative
2018-2019,6,September,9/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,11840,As at
2018-2019,6,September,9/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2018-2019,6,September,9/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
2018-2019,6,September,9/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),910,Non Cumulative
2018-2019,6,September,9/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13154,As at
2018-2019,7,October,10/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2018-2019,7,October,10/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
2018-2019,7,October,10/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),308,Non Cumulative
2018-2019,7,October,10/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
2018-2019,7,October,10/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2018-2019,7,October,10/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),2500,Non Cumulative
2018-2019,7,October,10/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),164.85,Non Cumulative
2018-2019,7,October,10/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,11840,As at
2018-2019,7,October,10/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2018-2019,7,October,10/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
2018-2019,7,October,10/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),932.95,Non Cumulative
2018-2019,7,October,10/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13154,As at
2018-2019,8,November,11/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2018-2019,8,November,11/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
2018-2019,8,November,11/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),310,Non Cumulative
2018-2019,8,November,11/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
2018-2019,8,November,11/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2018-2019,8,November,11/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),2500,Non Cumulative
2018-2019,8,November,11/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),164,Non Cumulative
2018-2019,8,November,11/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,11840,As at
2018-2019,8,November,11/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2018-2019,8,November,11/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
2018-2019,8,November,11/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),940,Non Cumulative
2018-2019,8,November,11/30/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13154,As at
2018-2019,9,December ,12/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2018-2019,9,December ,12/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
2018-2019,9,December ,12/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),311,Non Cumulative
2018-2019,9,December ,12/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
2018-2019,9,December ,12/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2018-2019,9,December ,12/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),2500,Non Cumulative
2018-2019,9,December ,12/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),165.48,Non Cumulative
2018-2019,9,December ,12/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,11840,As at
2018-2019,9,December ,12/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2018-2019,9,December ,12/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
2018-2019,9,December ,12/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),934.93,Non Cumulative
2018-2019,9,December ,12/31/2018,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13154,As at
2018-2019,10,January ,1/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2018-2019,10,January ,1/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
2018-2019,10,January ,1/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),311,Non Cumulative
2018-2019,10,January ,1/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
2018-2019,10,January ,1/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2018-2019,10,January ,1/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),2500,Non Cumulative
2018-2019,10,January ,1/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),167.95,Non Cumulative
2018-2019,10,January ,1/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,11840,As at
2018-2019,10,January ,1/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2018-2019,10,January ,1/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
2018-2019,10,January ,1/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),942.75,Non Cumulative
2018-2019,10,January ,1/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13154,As at
2018-2019,11,February ,2/28/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2018-2019,11,February ,2/28/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
2018-2019,11,February ,2/28/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),311,Non Cumulative
2018-2019,11,February ,2/28/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
2018-2019,11,February ,2/28/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2018-2019,11,February ,2/28/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),2500,Non Cumulative
2018-2019,11,February ,2/28/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),170.74,Non Cumulative
2018-2019,11,February ,2/28/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,11840,As at
2018-2019,11,February ,2/28/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2018-2019,11,February ,2/28/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
2018-2019,11,February ,2/28/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),961.26,Non Cumulative
2018-2019,11,February ,2/28/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13154,As at
2018-2019,12,March ,3/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2018-2019,12,March ,3/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
2018-2019,12,March ,3/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),311,Non Cumulative
2018-2019,12,March ,3/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
2018-2019,12,March ,3/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2018-2019,12,March ,3/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),2500,Non Cumulative
2018-2019,12,March ,3/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),170.74,Non Cumulative
2018-2019,12,March ,3/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,11840,As at
2018-2019,12,March ,3/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2018-2019,12,March ,3/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
2018-2019,12,March ,3/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),960.87,Non Cumulative
2018-2019,12,March ,3/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13154,As at
2019-2020,1,April,4/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,1,April,4/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
2019-2020,1,April,4/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),315,Non Cumulative
2019-2020,1,April,4/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
2019-2020,1,April,4/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,1,April,4/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),2500,Non Cumulative
2019-2020,1,April,4/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),173.47,Non Cumulative
2019-2020,1,April,4/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,11840,As at
2019-2020,1,April,4/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,1,April,4/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
2019-2020,1,April,4/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),969.6,Non Cumulative
2019-2020,1,April,4/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13154,As at
2019-2020,2,May,5/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,2,May,5/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
2019-2020,2,May,5/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),327,Non Cumulative
2019-2020,2,May,5/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
2019-2020,2,May,5/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,2,May,5/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),2500,Non Cumulative
2019-2020,2,May,5/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),188.64,Non Cumulative
2019-2020,2,May,5/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,11840,As at
2019-2020,2,May,5/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,2,May,5/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
2019-2020,2,May,5/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),975.4,Non Cumulative
2019-2020,2,May,5/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13154,As at
2019-2020,3,June,6/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,3,June,6/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
2019-2020,3,June,6/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),331,Non Cumulative
2019-2020,3,June,6/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
2019-2020,3,June,6/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,3,June,6/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),5000,Non Cumulative
2019-2020,3,June,6/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),198,Non Cumulative
2019-2020,3,June,6/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,24020,As at
2019-2020,3,June,6/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,3,June,6/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
2019-2020,3,June,6/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),988,Non Cumulative
2019-2020,3,June,6/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13316,As at
2019-2020,3,June,6/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,Explain adjustment,Contracted Power Capacity (kVA),,Non Cumulative
2019-2020,3,June,6/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,Explain adjustment,Square Footage,,As at
2019-2020,4,July,7/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,4,July,7/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
2019-2020,4,July,7/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),334,Non Cumulative
2019-2020,4,July,7/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
2019-2020,4,July,7/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,4,July,7/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),5000,Non Cumulative
2019-2020,4,July,7/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),197.66,Non Cumulative
2019-2020,4,July,7/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,24020,As at
2019-2020,4,July,7/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,4,July,7/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
2019-2020,4,July,7/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),982.42,Non Cumulative
2019-2020,4,July,7/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13316,As at
2019-2020,4,July,7/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,Explain adjustment,Square Footage,,As at
2019-2020,5,August,8/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,5,August,8/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
2019-2020,5,August,8/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),337,Non Cumulative
2019-2020,5,August,8/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
2019-2020,5,August,8/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,5,August,8/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),5000,Non Cumulative
2019-2020,5,August,8/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),179.86,Non Cumulative
2019-2020,5,August,8/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,24020,As at
2019-2020,5,August,8/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,5,August,8/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
2019-2020,5,August,8/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),1010.34,Non Cumulative
2019-2020,5,August,8/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13316,As at
2019-2020,6,September,9/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,6,September,9/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
2019-2020,6,September,9/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),361,Non Cumulative
2019-2020,6,September,9/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
2019-2020,6,September,9/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,6,September,9/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),5000,Non Cumulative
2019-2020,6,September,9/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),181.5,Non Cumulative
2019-2020,6,September,9/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,24020,As at
2019-2020,6,September,9/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,6,September,9/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
2019-2020,6,September,9/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),1052.58,Non Cumulative
2019-2020,6,September,9/30/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13316,As at
2019-2020,7,October,10/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,7,October,10/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
2019-2020,7,October,10/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),349,Non Cumulative
2019-2020,7,October,10/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
2019-2020,7,October,10/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,7,October,10/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),5000,Non Cumulative
2019-2020,7,October,10/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),193,Non Cumulative
2019-2020,7,October,10/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,24020,As at
2019-2020,7,October,10/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,7,October,10/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
2019-2020,7,October,10/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),1077.17,Non Cumulative
2019-2020,7,October,10/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13316,As at
2019-2020,7,October,10/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
2019-2020,7,October,10/31/2019,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Contracted Power Capacity (kVA),550,Non Cumulative
